N_Teste,N_Vertices,Tempo_Dijkstra_micros,Tempo_BMSSP_micros
343,350,135,961
344,350,136,987
345,350,137,961
346,350,136,964
347,350,132,917
348,350,133,924
349,350,141,995
350,350,141,936
351,350,132,949
352,350,133,955
353,350,137,957
354,350,136,964
355,350,132,936
356,350,146,965
357,350,143,976
358,350,132,953
359,350,135,950
360,350,142,994
361,350,130,899
362,350,136,949
363,350,133,931
364,350,136,974
365,350,131,921
366,350,135,948
367,350,140,975
368,350,139,976
369,350,134,934
370,350,134,943
371,350,132,955
372,350,131,930
373,350,133,964
374,350,137,980
375,350,134,982
376,350,130,950
377,350,138,975
378,350,133,941
379,350,135,960
380,350,129,934
381,350,137,934
382,350,132,951
383,350,133,990
384,350,133,941
385,350,139,1015
386,350,136,940
387,350,134,959
388,350,132,921
389,350,138,978
390,350,138,1031
391,350,139,1031
392,350,128,918
393,350,132,952
394,350,130,921
395,350,133,929
396,350,135,953
397,350,132,944
398,350,137,963
399,350,151,944
400,400,159,1106
401,400,164,1079
402,400,158,1080
403,400,202,1292
404,400,176,1118
405,400,171,1095
406,400,172,1149
407,400,168,1101
408,400,158,1055
409,400,172,1111
410,400,167,1110
411,400,165,1126
412,400,160,1090
413,400,168,1091
414,400,180,1188
415,400,164,1144
416,400,168,1100
417,400,161,1125
418,400,176,1165
419,400,183,1119
420,400,168,1106
421,400,158,1080
422,400,162,1182
423,400,166,1088
424,400,164,1099
425,400,189,1098
426,400,161,1103
427,400,169,1195
428,400,162,1102
429,400,163,1101
430,400,162,1093
431,400,162,1112
432,400,209,1087
433,400,168,1144
434,400,167,1091
435,400,160,1135
436,400,169,1159
437,400,178,1080
438,400,158,1072
439,400,159,1096
440,400,160,1124
441,400,163,1093
442,400,158,1051
443,400,164,1105
444,400,158,1085
445,400,163,1068
446,400,159,1133
447,400,158,1113
448,400,163,1085
449,400,231,1088
450,400,159,1091
451,400,163,1151
452,400,182,1114
453,400,170,1101
454,400,163,1107
455,400,172,1128
456,400,169,1116
457,400,164,1107
458,400,172,1162
459,400,168,1180
460,400,163,1117
461,400,155,1088
462,400,164,1133
463,400,161,1103
464,400,176,1228
465,400,172,1145
466,400,170,1104
467,400,162,1103
468,400,170,1122
469,400,162,1101
470,400,173,1102
471,400,159,1078
472,400,162,1084
473,400,155,1060
474,400,159,1092
475,400,174,1092
476,400,164,1064
477,400,177,1096
478,400,156,1065
479,400,156,1056
480,400,159,1074
481,400,168,1076
482,400,161,1098
483,400,166,1135
484,400,167,1090
485,400,159,1089
486,400,160,1086
487,400,163,1097
488,400,174,1113
489,400,194,1157
490,400,172,1176
491,400,163,1120
492,400,160,1062
493,400,163,1130
494,400,169,1109
495,400,162,1099
496,400,162,1082
497,400,166,1097
498,400,162,1120
499,400,159,1095
500,400,163,1111
501,400,158,1047
502,400,154,1054
503,400,156,1113
504,400,152,1014
505,400,153,1029
506,400,154,1031
507,400,152,1010
508,400,159,1185
509,400,163,1071
510,400,160,1076
511,400,158,1074
512,400,158,1059
513,400,158,1051
514,400,155,1043
515,400,160,1090
516,400,160,1069
517,400,170,1093
518,400,166,1094
519,400,156,1111
520,400,171,1064
521,400,156,1052
522,400,157,1079
523,400,154,1042
524,400,152,1025
525,400,156,1054
526,400,154,1091
527,400,158,1084
528,400,161,1086
529,400,156,1051
530,400,163,1081
531,400,157,1119
532,400,169,1090
533,400,163,1088
534,400,162,1107
535,400,164,1099
536,400,160,1063
537,400,171,1162
538,400,163,1097
539,400,161,1105
540,400,180,1257
541,400,166,1157
542,400,168,1106
543,400,172,1144
544,400,161,1100
545,400,162,1106
546,400,168,1129
547,400,157,1125
548,400,163,1118
549,400,160,1109
550,400,174,1113
551,400,163,1125
552,400,165,1112
553,400,163,1102
554,400,166,1093
555,400,159,1090
556,400,161,1096
557,400,166,1116
558,400,169,1127
559,400,175,1126
560,400,176,1138
561,400,169,1163
562,400,170,1096
563,400,163,1097
564,400,162,1114
565,400,174,1122
566,400,166,1117
567,400,165,1099
568,400,162,1101
569,400,160,1105
570,400,163,1130
571,400,169,1137
572,400,165,1140
573,400,169,1120
574,400,169,1151
575,400,172,1141
576,400,176,1127
577,400,165,1132
578,400,162,1109
579,400,167,1138
580,400,163,1122
581,400,163,1102
582,400,165,1108
583,400,161,1087
584,400,162,1085
585,400,164,1114
586,400,166,1103
587,400,163,1092
588,400,173,1148
589,400,172,1144
590,400,166,1134
591,400,162,1126
592,400,162,1103
593,400,172,1205
594,400,162,1095
595,400,154,1055
596,400,172,1120
597,400,162,1096
598,400,165,1118
599,400,159,1102
600,450,191,1308
601,450,179,1260
602,450,191,1248
603,450,183,1262
604,450,186,1238
605,450,176,1216
606,450,178,1196
607,450,178,1269
608,450,177,1186
609,450,176,1181
610,450,184,1264
611,450,191,1292
612,450,194,1307
613,450,194,1297
614,450,202,1302
615,450,192,1274
616,450,191,1328
617,450,190,1293
618,450,190,1298
619,450,206,1344
620,450,192,1302
621,450,188,1343
622,450,192,1275
623,450,187,1268
624,450,188,1269
625,450,203,1307
626,450,188,1317
627,450,187,1251
628,450,189,1295
629,450,184,1298
630,450,189,1315
631,450,203,1314
632,450,196,1306
633,450,267,1275
634,450,191,1286
635,450,193,1292
636,450,192,1271
637,450,189,1236
638,450,190,1266
639,450,183,1223
640,450,181,1251
641,450,191,1262
642,450,197,1319
643,450,189,1259
644,450,196,1281
645,450,192,1300
646,450,195,1297
647,450,213,1333
648,450,187,1248
649,450,191,1301
650,450,212,1361
651,450,188,1265
652,450,206,1352
653,450,197,1303
654,450,190,1318
655,450,206,1350
656,450,189,1318
657,450,191,1303
658,450,200,1317
659,450,193,1290
660,450,190,1307
661,450,205,1296
662,450,196,1311
663,450,194,1286
664,450,200,1676
665,450,249,1350
666,450,189,1244
667,450,197,1297
668,450,189,1260
669,450,191,1277
670,450,195,1313
671,450,194,1302
672,450,188,1273
673,450,190,1277
674,450,190,1311
675,450,186,1285
676,450,185,1299
677,450,197,1335
678,450,187,1268
679,450,192,1273
680,450,196,1326
681,450,195,1289
682,450,194,1297
683,450,186,1272
684,450,192,1311
685,450,194,1278
686,450,185,1323
687,450,195,1299
688,450,185,1258
689,450,189,1272
690,450,194,1291
691,450,189,1262
692,450,191,1261
693,450,188,1236
694,450,190,1259
695,450,191,1376
696,450,188,1275
697,450,189,1264
698,450,190,1317
699,450,187,1267
700,450,175,1274
701,450,187,1183
702,450,177,1199
703,450,211,1389
704,450,193,1240
705,450,182,1251
706,450,184,1237
707,450,187,1239
708,450,187,1246
709,450,197,1263
710,450,193,1276
711,450,193,1280
712,450,201,1360
713,450,222,1331
714,450,190,1324
715,450,188,1278
716,450,198,1325
717,450,191,1320
718,450,193,1286
719,450,200,1282
720,450,186,1281
721,450,214,1297
722,450,194,1290
723,450,207,1270
724,450,197,1307
725,450,198,1317
726,450,191,1284
727,450,193,1310
728,450,194,1315
729,450,212,1307
730,450,198,1334
731,450,193,1287
732,450,195,1288
733,450,192,1312
734,450,194,1284
735,450,191,1282
736,450,199,1312
737,450,200,1325
738,450,191,1311
739,450,197,1367
740,450,185,1278
741,450,192,1305
742,450,197,1315
743,450,199,1333
744,450,192,1259
745,450,187,1260
746,450,190,1306
747,450,199,1311
748,450,191,1271
749,450,199,1280
750,450,192,1300
751,450,198,1310
752,450,190,1295
753,450,194,1301
754,450,195,1304
755,450,186,1302
756,450,200,1293
757,450,200,1310
758,450,191,1321
759,450,195,1329
760,450,204,1324
761,450,190,1290
762,450,191,1310
763,450,196,1303
764,450,191,1300
765,450,188,1269
766,450,193,1271
767,450,192,1284
768,450,197,1368
769,450,192,1289
770,450,194,1324
771,450,203,1348
772,450,200,1311
773,450,195,1303
774,450,198,1300
775,450,190,1334
776,450,197,1316
777,450,195,1295
778,450,202,1297
779,450,194,1337
780,450,195,1295
781,450,195,1341
782,450,187,1264
783,450,192,1288
784,450,203,1275
785,450,193,1315
786,450,197,1269
787,450,192,1275
788,450,191,1312
789,450,188,1316
790,450,194,1261
791,450,189,1285
792,450,192,1309
793,450,193,1269
794,450,191,1290
795,450,190,1293
796,450,193,1278
797,450,195,1280
798,450,205,1312
799,450,188,1265
800,500,332,1430
801,500,203,1357
802,500,234,1462
803,500,223,1419
804,500,221,1423
805,500,253,1458
806,500,235,1485
807,500,226,1464
808,500,233,1443
809,500,229,1434
810,500,241,1472
811,500,232,1447
812,500,223,1450
813,500,231,1457
814,500,220,1476
815,500,219,1459
816,500,263,1597
817,500,228,1449
818,500,231,1459
819,500,224,1481
820,500,234,1542
821,500,221,1469
822,500,218,1440
823,500,222,1539
824,500,231,1462
825,500,223,1479
826,500,229,1478
827,500,226,1471
828,500,214,1420
829,500,217,1432
830,500,221,1424
831,500,221,1441
832,500,222,1445
833,500,218,1429
834,500,217,1495
835,500,218,1432
836,500,225,1484
837,500,220,1428
838,500,218,1395
839,500,221,1457
840,500,214,1411
841,500,221,1446
842,500,222,1477
843,500,221,1444
844,500,226,1439
845,500,222,1481
846,500,228,1418
847,500,235,1459
848,500,223,1443
849,500,217,1421
850,500,226,1471
851,500,219,1419
852,500,222,1443
853,500,221,1408
854,500,228,1446
855,500,223,1419
856,500,221,1484
857,500,226,1456
858,500,221,1434
859,500,216,1403
860,500,220,1432
861,500,218,1421
862,500,219,1423
863,500,217,1435
864,500,223,1447
865,500,211,1444
866,500,213,1408
867,500,244,1586
868,500,229,1443
869,500,221,1436
870,500,222,1438
871,500,218,1463
872,500,222,1427
873,500,223,1422
874,500,221,1446
875,500,220,1436
876,500,221,1442
877,500,219,1414
878,500,228,1498
879,500,220,1441
880,500,214,1399
881,500,229,1428
882,500,229,1471
883,500,235,1468
884,500,227,1448
885,500,292,1426
886,500,217,1435
887,500,220,1430
888,500,227,1430
889,500,221,1462
890,500,222,1455
891,500,218,1405
892,500,217,1441
893,500,217,1444
894,500,231,1462
895,500,210,1416
896,500,222,1447
897,500,224,1435
898,500,215,1419
899,500,225,1453
900,500,214,1433
901,500,206,1349
902,500,220,1392
903,500,217,1429
904,500,226,1513
905,500,212,1400
906,500,207,1355
907,500,261,1484
908,500,225,1436
909,500,224,1441
910,500,225,1451
911,500,223,1427
912,500,228,1455
913,500,219,1430
914,500,221,1448
915,500,220,1494
916,500,229,1430
917,500,223,1499
918,500,224,1481
919,500,220,1451
920,500,226,1448
921,500,239,1591
922,500,227,1479
923,500,228,1483
924,500,228,1465
925,500,225,1499
926,500,236,1468
927,500,233,1461
928,500,221,1463
929,500,221,1454
930,500,255,1534
931,500,226,1476
932,500,239,1475
933,500,230,1464
934,500,219,1463
935,500,231,1490
936,500,232,1480
937,500,244,1532
938,500,219,1417
939,500,269,1491
940,500,225,1444
941,500,226,1455
942,500,230,1498
943,500,216,1428
944,500,225,1461
945,500,224,1461
946,500,225,1461
947,500,224,1456
948,500,223,1410
949,500,223,1471
950,500,224,1489
951,500,227,1470
952,500,222,1442
953,500,227,1467
954,500,248,1506
955,500,218,1480
956,500,233,1483
957,500,228,1464
958,500,223,1440
959,500,230,1474
960,500,221,1446
961,500,222,1505
962,500,220,1452
963,500,225,1453
964,500,227,1475
965,500,232,1448
