N_Teste,N_Vertices,Tempo_Dijkstra_micros,Tempo_BMSSP_micros
0,100,29,438
1,100,30,403
2,100,28,393
3,100,29,398
4,100,26,353
5,100,26,364
6,100,29,378
7,100,25,365
8,100,30,414
9,100,29,403
10,100,29,401
11,100,28,396
12,100,40,435
13,100,35,541
14,100,31,420
15,100,34,424
16,100,35,429
17,100,32,439
18,100,29,401
19,100,37,461
20,100,29,410
21,100,31,409
22,100,28,375
23,100,26,366
24,100,29,349
25,100,33,375
26,100,29,373
27,100,31,367
28,100,28,352
29,100,28,340
30,100,35,373
31,100,34,377
32,100,35,614
33,100,43,495
34,100,62,454
35,100,28,399
36,100,38,605
37,100,31,400
38,100,30,387
39,100,36,385
40,100,42,492
41,100,29,396
42,100,27,370
43,100,36,387
44,100,27,373
45,100,26,357
46,100,27,355
47,100,32,361
48,100,28,377
49,100,28,359
50,100,31,354
51,100,28,382
52,100,28,373
53,100,32,384
54,100,33,381
55,100,28,372
56,100,32,394
57,100,29,398
58,100,29,378
59,100,29,394
60,100,30,413
61,100,28,374
62,100,33,405
63,100,32,381
64,100,30,388
65,100,29,390
66,100,30,375
67,100,27,386
68,100,30,379
69,100,29,388
70,100,41,405
71,100,29,407
72,100,31,386
73,100,33,392
74,100,30,390
75,100,33,397
76,100,31,398
77,100,31,393
78,100,33,403
79,100,32,386
80,100,31,389
81,100,28,391
82,100,28,398
83,100,29,377
84,100,31,384
85,100,27,386
86,100,29,385
87,100,31,402
88,100,29,394
89,100,29,402
90,100,29,379
91,100,30,393
92,100,29,381
93,100,29,391
94,100,28,383
95,100,28,387
96,100,34,414
97,100,35,454
98,100,29,378
99,100,28,400
100,100,32,406
101,100,32,387
102,100,29,376
103,100,30,383
104,100,30,376
105,100,30,386
106,100,27,370
107,100,29,365
108,100,28,377
109,100,29,379
110,100,29,360
111,100,27,356
112,100,32,375
113,100,30,373
114,100,29,379
115,100,31,366
116,100,31,380
117,100,29,365
118,100,29,366
119,100,26,375
120,100,26,351
121,100,28,370
122,100,28,371
123,100,32,385
124,100,29,377
125,100,31,382
126,100,30,378
127,100,29,384
128,100,30,389
129,100,30,381
130,100,29,394
131,100,74,365
132,100,57,705
133,100,26,375
134,100,31,377
135,100,26,364
136,100,28,375
137,100,26,356
138,100,26,360
139,100,31,365
140,100,27,381
141,100,28,364
142,100,26,357
143,100,29,344
144,100,27,338
145,100,28,358
146,100,29,344
147,100,28,344
148,100,27,338
149,100,30,365
150,100,37,358
151,100,28,370
152,100,26,354
153,100,26,352
154,100,29,378
155,100,28,363
156,100,33,386
157,100,29,358
158,100,27,359
159,100,26,373
160,100,29,369
161,100,30,367
162,100,28,362
163,100,33,358
164,100,27,378
165,100,27,354
166,100,28,390
167,100,29,358
168,100,28,381
169,100,27,372
170,100,30,393
171,100,29,359
172,100,28,390
173,100,30,368
174,100,27,371
175,100,28,366
176,100,27,363
177,100,28,353
178,100,28,401
179,100,28,366
180,100,32,382
181,100,26,352
182,100,27,375
183,100,27,352
184,100,26,370
185,100,29,368
186,100,32,366
187,100,29,373
188,100,28,355
189,100,29,369
190,100,29,373
191,100,28,354
192,100,27,370
193,100,29,364
194,100,29,366
195,100,29,362
196,100,28,374
197,100,30,362
198,100,28,362
199,100,29,366
200,150,50,655
201,150,54,631
202,150,52,635
203,150,55,642
204,150,48,618
205,150,61,661
206,150,55,628
207,150,48,615
208,150,55,641
209,150,51,639
210,150,50,600
211,150,54,647
212,150,51,627
213,150,54,630
214,150,52,635
215,150,47,610
216,150,52,621
217,150,52,630
218,150,52,637
219,150,52,649
220,150,53,633
221,150,52,629
222,150,55,620
223,150,55,664
224,150,54,650
225,150,55,649
226,150,48,608
227,150,52,627
228,150,53,619
229,150,55,651
230,150,57,622
231,150,56,658
232,150,52,638
233,150,49,612
234,150,50,623
235,150,56,618
236,150,50,628
237,150,58,638
238,150,51,621
239,150,53,600
240,150,52,639
241,150,63,635
242,150,50,621
243,150,50,626
244,150,50,627
245,150,58,628
246,150,51,627
247,150,52,625
248,150,50,618
249,150,49,605
250,150,52,637
251,150,51,601
252,150,56,670
253,150,56,654
254,150,52,626
255,150,62,604
256,150,74,667
257,150,48,591
258,150,51,622
259,150,51,607
260,150,49,609
261,150,51,620
262,150,51,605
263,150,53,664
264,150,51,609
265,150,50,614
266,150,52,606
267,150,52,621
268,150,55,634
269,150,53,639
270,150,49,594
271,150,55,621
272,150,49,597
273,150,49,608
274,150,48,592
275,150,55,615
276,150,50,599
277,150,49,615
278,150,54,616
279,150,58,618
280,150,56,672
281,150,47,609
282,150,52,606
283,150,56,629
284,150,57,639
285,150,49,582
286,150,50,614
287,150,56,626
288,150,51,596
289,150,47,596
290,150,49,599
291,150,48,624
292,150,69,618
293,150,52,636
294,150,60,605
295,150,51,597
296,150,52,600
297,150,52,600
298,150,53,600
299,150,51,627
300,150,64,670
301,150,50,598
302,150,47,584
303,150,52,598
304,150,49,570
305,150,46,574
306,150,47,569
307,150,55,609
308,150,45,555
309,150,48,565
310,150,48,553
311,150,49,578
312,150,45,549
313,150,47,572
314,150,50,565
315,150,46,566
316,150,45,551
317,150,48,618
318,150,50,597
319,150,55,589
320,150,54,595
321,150,51,577
322,150,49,582
323,150,49,579
324,150,48,573
325,150,51,562
326,150,49,578
327,150,47,572
328,150,49,581
329,150,53,582
330,150,50,582
331,150,47,572
332,150,48,578
333,150,51,617
334,150,49,602
335,150,49,604
336,150,52,599
337,150,51,612
